2020-04-21T19:20:06.794147(0.008949670940637589,)(0.003663688898086548,)(-0.00034046173095703125,)(-0.006009179167449474,)(-0.03484729677438736,)(-1.0000535249710083,)
2020-04-21T19:20:06.820690(0.008949670940637589,)(0.003663688898086548,)(-0.00034046173095703125,)(-0.006009179167449474,)(-0.03484729677438736,)(-1.0000535249710083,)
2020-04-21T19:20:06.844327(0.008949670940637589,)(0.003663688898086548,)(-0.00034046173095703125,)(-0.006009179167449474,)(-0.03484729677438736,)(-1.0000535249710083,)
2020-04-21T19:20:06.871380(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:06.895676(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:06.921124(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:06.945548(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:06.971359(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:06.995532(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:07.021358(-0.2091558575630188,)(-0.04703310877084732,)(0.15932655334472656,)(0.02084977738559246,)(-0.016919011250138283,)(-1.0003182888031006,)
2020-04-21T19:20:07.047560(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.072097(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.097081(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.123873(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.148737(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.174041(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.199268(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.224441(0.487473726272583,)(-0.36963868141174316,)(0.20151329040527344,)(-0.1690577268600464,)(0.14986026287078857,)(-0.9748430252075195,)
2020-04-21T19:20:07.250009(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.274709(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.300436(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.326051(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.351579(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.377150(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.401855(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.426989(0.5270998477935791,)(-0.2562234401702881,)(-0.7902092933654785,)(-0.25884073972702026,)(0.20679163932800293,)(-0.9442437291145325,)
2020-04-21T19:20:07.452795(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
2020-04-21T19:20:07.478059(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
2020-04-21T19:20:07.502743(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
2020-04-21T19:20:07.527365(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
2020-04-21T19:20:07.553556(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
2020-04-21T19:20:07.577272(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
2020-04-21T19:20:07.603740(-0.45861947536468506,)(0.009169340133666992,)(-0.026338577270507812,)(-0.0611334890127182,)(0.12017838656902313,)(-0.9915529489517212,)
